,teks,label,clean_teks
0,"Kaka tidur yaa, udah pagi, gaboleh capek2",no,kaka tidur yaa pagi capai
1,makan nasi padang aja begini badannya,no,makan nasi padang badan
2,Hai kak Isyana aku ngefans banget sama kak Isyana.aku paling suka lagu kak Isyana itu lagu tetap didalam jiwa,no,hai kak isyana ngefans kak isyanaaku suka lagu kak isyana lagu dalam jiwa
3,Manusia apa bidadari sih herann deh cantik terus ????,no,manusia bidadari sih herann deh cantik
4,"Gemesnya isyan kayak tango, berlapis lapis ciaaaa",no,gemesnya isyan tango lap lapis ciaaaa
5,Anak yg cerdas terbentuk dr pola asuh sekaligus pola didik ortu yg cerdas pula sih pada saranya. Sesimple itu,no,anak cerdas bentuk pola asuh pola didik orangtua cerdas sih saran sesimple
6,Setengah iri setengah jadi motivasi ini,no,iri motivasi
7,"Yaudah jd pengusaha kuliner aja gausah artis, makanannya emang bikin ngiler sih wkwkw",no,ya usaha kuliner artis makan bikin ngiler sih wkwkw
8,Kamu emang cocoknya jadi pengusaha kuliner udah fixs. Semoha lancat terusssss,no,cocok usaha kuliner fixs semoha lancat terusssss
9,Udah gk jaman ngebully orang hey netizen mending ngaca dari kekurangan sendiri,no,jaman ngebully orang hey netizen mending kaca kurang
10,"Kalau pas penempatannya, sebenernya kamu imut banget loh mel.",no,pas tempat imut loh mel
11,"Suka heran sama yg ngehina fisik,, ternyata bener ya kita semua pendosa dengan cara kita sendiri,,",no,suka heran hina fisik ya dosa
12,Bagusan foto pakai masker drpd gak pakai masker,no,bagus foto pakai masker pakai masker
13,Nah ini cantik seneng. Usahanya membuahkan hasil. Semangat ya mel semoga menjadi pribadi yang lebih baik lagi,no,cantik senang usaha buah hasil semangat ya mel moga pribadi
14,Semoga lancar terus usahanya mel,no,moga lancar usaha mel
15,Cantik banget kalo meldi muka natural kek gini,no,cantik meldi muka natural
16,Lu diem aja cantik mel kalo ga banyak gaya serius,no,diam cantik mel gaya serius
17,Semakin glowing say… natural kayak gini bagus tambahin prestasi nya ya say,no,glowing say natural bagus tambahin prestasi nya ya say
18,Kok mbak meldi sekarang tambah cantik ya rahasianya apa..,no,mbak meldi cantik ya rahasia
19,Fix yang komen semua nyela,no,fix komen nyela
20,"Udah ka gausah digubris gausah dipikirin. Bersyukur aja sama nikmat tuhan yang udah dikasih ke kaka. Gausah juga ngatain orang ka, tetep bersyukur atas nikmatnya",no,ka gubris dipikirin syukur nikmat tuhan kasih kaka orang ka syukur nikmat
21,"Ga ada yang dibawah Meldi, semuanya setara, ada kekurangan ada kelebihan",no,bawah meldi tara kurang lebih
22,Ka mel gausah merendahkan orang lain. Bersyukur aja diatas langit juga masih ada langit lagi,no,ka mel rendah orang syukur atas langit langit
23,"Semua wanita cantik, jangan suka merasa lebih ah",no,wanita cantik suka ah
24,Gila Netizen pada sempurna ngehina orang terus,no,gila netizen sempurna hina orang
25,Meldi tambah kurusan sekarang ya??? Cantik walaupun tanpa make up…,no,meldi kurus ya cantik pakai up
26,"Elu juga semoga semakinlebih baik dalam segala hal, terutama akhlak dan etikanya",no,moga semakinlebih akhlak etika
27,Mbak mell sehat dan sukses ya,no,mbak mell sehat sukses ya
28,Aamiin. Doa baik juga untuk Meldi,no,aamiin doa meldi
29,"Selamat tahun baru mbak, semoga jadi pribadi yang lebih baik amin",no,selamat mbak moga pribadi amin
30,Meldi ini lama lama cantik loh tinggal dibenerin akhlak dan adabnya pasti makin sip,no,meldi cantik loh tinggal dibenerin akhlak adab sip
31,Lama lama mirip dewi persik ya,no,dewi persik ya
32,pada julid padahal kan meldi gak nyusahin kalian,no,julid meldi nyusahin
